ALK_ADJ;Alaskan;Alaskan;Alaskan;;;;;;;;;;;x;
ALK;Alaska;Alaska;Alaska;;;;;;;;;;;x;
ALK_proletarian_dictatorship;Socialist Republic of Alaska;Socialist Republic of Alaska;Socialist Republic of Alaska;;;;;;;;;;;x;
ALK_presidential_dictatorship;Republic of Alaska;Republic of Alaska;Republic of Alaska;;;;;;;;;;;x;
ALK_bourgeois_dictatorship;Republic of Alaska;Republic of Alaska;Republic of Alaska;;;;;;;;;;;x;
ALK_fascist_dictatorship;Free State of Alaska;Free State of Alaska;Free State of Alaska;;;;;;;;;;;x;
ALK_absolute_monarchy;Kingdom of Alaska;Kingdom of Alaska;Kingdom of Alaska;;;;;;;;;;;x;
ALK_prussian_constitutionalism;Kingdom of Alaska;Kingdom of Alaska;Kingdom of Alaska;;;;;;;;;;;x;
ALK_hms_government;Kingdom of Alaska;Kingdom of Alaska;Kingdom of Alaska;;;;;;;;;;;x;
ALK_democracy;Alaska;Alaska;Alaska;;;;;;;;;;;x;
ALK_conservative_92;Conservatives;Conservatives;Conservatives;;;;;;;;;;;x;
ALK_liberal_79;Liberals;Liberals;Liberals;;;;;;;;;;;x;
ALK_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
ALK_socialist_85;Socialists;Socialists;Socialists;;;;;;;;;;;x;
ALK_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x;
ALK_reactionary_84;Monarchy Leadership;Monarchy Leadership;Monarchy Leadership;;;;;;;;;;;x;
ALK_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
ALK_communist_86;Communists;Communists;Communists;;;;;;;;;;;x;
ALK_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x;
