APH_ADJ;Alpine;Alpine;Alpine;;;;;;;;;;;x
APH;Alpine;Alpine;Alpine;;;;;;;;;;;x
APH_proletarian_dictatorship;Socialist Republic of Alpine ;Socialist Republic of Alpine ;Socialist Republic of Alpine ;;;;;;;;;;;x
APH_presidential_dictatorship;Alpine Republic;Alpine Republic;Alpine Republic;;;;;;;;;;;x
APH_bourgeois_dictatorship;Alpine Republic;Alpine Republic;Alpine Republic;;;;;;;;;;;x
APH_fascist_dictatorship;Greater Alpine Republic;Greater Alpine Republic;Greater Alpine Republic;;;;;;;;;;;x
APH_absolute_monarchy;Alpine Empire;Alpine Empire;Alpine Empire;;;;;;;;;;;x
APH_prussian_constitutionalism;Alpine Kingdom;Alpine Kingdom;Alpine Kingdom;;;;;;;;;;;x
APH_hms_government;Alpine Kingdom;Alpine Kingdom;Alpine Kingdom;;;;;;;;;;;x
APH_democracy;Alpine Confederation;Alpine Confederation;Alpine Confederation;;;;;;;;;;;x
APH_conservative_106;Conservatives;Conservatives ;Conservatives;;;;;;;;;;;x
APH_liberal_79;Liberals;Liberals;Liberals;;;;;;;;;;;x
APH_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x
APH_socialist_100;Socialists;Socialists;Socialista;;;;;;;;;;;x
APH_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x
APH_reactionary_84;Monarchy Leadership;Monarchy Leadership;Monarchy Leadership;;;;;;;;;;;x
APH_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x
APH_communist_96;Communists;Communists;Communists;;;;;;;;;;;x
APH_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x
