AND_ADJ;Andorran;Andorran;Andorran;;;;;;;;;;;x
AND;Andorra;Andorra;Andorra;;;;;;;;;;;x
AND_proletarian_dictatorship;Commune of Andorra;Commune of Andorra;Commune of Andorra;;;;;;;;;;;x
AND_presidential_dictatorship;Republic of Andorra;Republic of Andorra;Republic of Andorra;;;;;;;;;;;x
AND_bourgeois_dictatorship;Republic of Andorra;Republic of Andorra;Republic of Andorra;;;;;;;;;;;x
AND_fascist_dictatorship;State of Andorra;State of Andorra;State of Andorra;;;;;;;;;;;x
AND_absolute_monarchy;Andorra;Andorra;Andorra;;;;;;;;;;;x
AND_prussian_constitutionalism;Andorra;Andorra;Andorra;;;;;;;;;;;x
AND_hms_government;Andorra;Andorra;Andorra;;;;;;;;;;;x
AND_democracy;Andorra;Andorra;Andorra;;;;;;;;;;;x
AND_conservative_92;Conservatives;Conservatives;Conservatives;;;;;;;;;;;x
AND_liberal_79;Liberals;Liberals;Liberals;;;;;;;;;;;x
AND_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x
AND_socialist_85;Socialists;Socialists;Socialists;;;;;;;;;;;x
AND_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x
AND_reactionary_84;Monarchy Leadership;Monarchy Leadership;Monarchy Leadership;;;;;;;;;;;x
AND_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x
AND_communist_86;Communists;Communists;Communists;;;;;;;;;;;x
AND_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x
