AUV_ADJ;Auvergni ;Auvergni ;Auvergni ;;;;;;;;;;;x;
AUV;Auvergne;Auvergne;Auvergne;;;;;;;;;;;x;
AUV_proletarian_dictatorship;Socialist Republic of Auvergne;Socialist Republic of Auvergne;Socialist Republic of Auvergne;;;;;;;;;;;x;
AUV_presidential_dictatorship;Auvergni Republic;Auvergni Republic;Auvergni Republic;;;;;;;;;;;x;
AUV_bourgeois_dictatorship;Auvergni Republic;Auvergni Republic;Auvergni Republic;;;;;;;;;;;x;
AUV_fascist_dictatorship;State of Auvergne;State of Auvergne;State of Auvergne;;;;;;;;;;;x;
AUV_absolute_monarchy;Duchy of Auvergne;Duchy of Auvergne;Duchy of Auvergne;;;;;;;;;;;x;
AUV_prussian_constitutionalism;Auvergne;Auvergne;Auvergne;;;;;;;;;;;x;
AUV_hms_government;Auvergne;Auvergne;Auvergne;;;;;;;;;;;x;
AUV_democracy;Auvergne;Auvergne;Auvergne;;;;;;;;;;;x;
AUV_conservative_92;Conservatives;Conservatives;Conservatives;;;;;;;;;;;x;
AUV_liberal_79;Liberals;Liberals;Liberals;;;;;;;;;;;x;
AUV_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
AUV_socialist_85;Socialists;Socialists;Socialists;;;;;;;;;;;x;
AUV_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x;
AUV_reactionary_84;Monarchy Leadership;Monarchy Leadership;Monarchy Leadership;;;;;;;;;;;x;
AUV_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
AUV_communist_86;Communists;Communists;Communists;;;;;;;;;;;x;
AUV_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x;
