BAY_ADJ;Fraconian;Fraconian;Fraconian;;;;;;;;;;;x;
BAY;Bayreuth;Bayreuth;Bayreuth;;;;;;;;;;;x;
BAY_proletarian_dictatorship;Franconian Coummune;Franconian Coummune;Franconian Coummune;;;;;;;;;;;x;
BAY_presidential_dictatorship;Republic of Bayreuth;Republic of Bayreuth;Republic of Bayreuth;;;;;;;;;;;x;
BAY_bourgeois_dictatorship;Republic of Bayreuth;Republic of Bayreuth;Republic of Bayreuth;;;;;;;;;;;x;
BAY_fascist_dictatorship;Bayreuth State;Bayreuth State;Bayreuth State;;;;;;;;;;;x;
BAY_absolute_monarchy;Duchy of Franconia;Duchy of Franconia;Duchy of Franconia;;;;;;;;;;;x;
BAY_prussian_constitutionalism;Duchy of Franconia;Duchy of Franconia;Duchy of Franconia;;;;;;;;;;;x;
BAY_hms_government;Duchy of Franconia;Duchy of Franconia;Duchy of Franconia;;;;;;;;;;;x;
BAY_democracy;Bayreuth;Bayreuth;Bayreuth;;;;;;;;;;;x;
BAY_conservative_92;Conservatives;Conservatives;Conservatives;;;;;;;;;;;x;
BAY_liberal_79;Liberals;Liberals;Liberals;;;;;;;;;;;x;
BAY_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
BAY_socialist_85;Socialists;Socialists;Socialists;;;;;;;;;;;x;
BAY_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x;
BAY_reactionary_84;Monarchy Leadership;Monarchy Leadership;Monarchy Leadership;;;;;;;;;;;x;
BAY_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
BAY_communist_86;Communists;Communists;Communists;;;;;;;;;;;x;
BAY_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x;
