BOT_ADJ;Motswana;Motswana;Motswana;;;;;;;;;;;x;
BOT;Botswana;Botswana;Botswana;;;;;;;;;;;x;
BOT_proletarian_dictatorship;People´s Republic of Botswana;People´s Republic of Botswana;People´s Republic of Botswana;;;;;;;;;;;x;
BOT_presidential_dictatorship;Republic of Botswana;Republic of Botswana;Republic of Botswana;;;;;;;;;;;x;
BOT_bourgeois_dictatorship;Republic of Botswana;Republic of Botswana;Republic of Botswana;;;;;;;;;;;x;
BOT_fascist_dictatorship;State of Botswana;State of Botswana;State of Botswana;;;;;;;;;;;x;
BOT_absolute_monarchy;Botswana;Botswana;Botswana;;;;;;;;;;;x;
BOT_prussian_constitutionalism;Botswana;Botswana;Botswana;;;;;;;;;;;x;
BOT_hms_government;Botswana;Botswana;Botswana;;;;;;;;;;;x;
BOT_democracy;Botswana;Botswana;Botswana;;;;;;;;;;;x;
BOT_conservative_102;Botswana National Front;Botswana National Front;Botswana National Front;;;;;;;;;;;x;
BOT_liberal_79;Liberals;Liberals;Liberals;;;;;;;;;;;x;
BOT_liberal_90;Botswana Unity Party;Botswana Unity Party;Botswana Unity Party;;;;;;;;;;;x;
BOT_socialist_85;Socialists;Socialists;Socialists;;;;;;;;;;;x;
BOT_socialist_105;Botswana Democratic Party;Botswana Democratic Party;Botswana Democratic Party;;;;;;;;;;;x;
BOT_reactionary_84;Monarchy Leadership;Monarchy Leadership;Monarchy Leadership;;;;;;;;;;;x;
BOT_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
BOT_communist_86;Communists;Communists;Communists;;;;;;;;;;;x;
BOT_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x;
