CEL_ADJ;Celtic;Celtic;Celtic;;;;;;;;;;;x;
CEL;Celtic Alliance ;Celtic Alliance ;Celtic Alliance ;;;;;;;;;;;x;
CEL_proletarian_dictatorship;Celtic Socialist Republic;Celtic Socialist Republic;Celtic Socialist Republic;;;;;;;;;;;x;
CEL_presidential_dictatorship;Celtic Republic;Celtic Republic;Celtic Republic;;;;;;;;;;;x;
CEL_bourgeois_dictatorship;Celtic Federal Republic;Celtic Federal Republic;Celtic Federal Republic;;;;;;;;;;;x;
CEL_fascist_dictatorship;Greater Celtic Republic ;Greater Celtic Republic ;Greater Celtic Republic ;;;;;;;;;;;x;
CEL_absolute_monarchy;Celtic Kingdom;Celtic Kingdom;Celtic Kingdom;;;;;;;;;;;x;
CEL_prussian_constitutionalism;Celtic Kingdom;Celtic Kingdom;Celtic Kingdom;;;;;;;;;;;x;
CEL_hms_government;Celtic Kingdom;Celtic Kingdom;Celtic Kingdom;;;;;;;;;;;x;
CEL_democracy;Celtic Alliance ;Celtic Alliance ;Celtic Alliance ;;;;;;;;;;;x;
CEL_conservative_103;Celtic Democratic Block ;Celtic Democratic Block ;Celtic Democratic Block ;;;;;;;;;;;x;
CEL_liberal_86;Dalriadic Party;Dalriadic Party;Dalriadic Party;;;;;;;;;;;x;
CEL_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
CEL_socialist_100;Partido Socialista Galego;Partido Socialista Galego;Partido Socialista Galego;;;;;;;;;;;x;
CEL_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x;
CEL_reactionary_84;Monarchy Leadership;Monarchy Leadership;Monarchy Leadership;;;;;;;;;;;x;
CEL_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
CEL_communist_86;Communists;Communists;Communists;;;;;;;;;;;x;
CEL_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x;
