CHD_ADJ;Chadian;Chadian;Chadian;;;;;;;;;;;x;
CHD;Chad;Chad;Chad;;;;;;;;;;;x;
CHD_proletarian_dictatorship;People´s Republic of Chad;People´s Republic of Chad;People´s Republic of Chad;;;;;;;;;;;x;
CHD_presidential_dictatorship;Republic Of Chad;Republic Of Chad;Republic Of Chad;;;;;;;;;;;x;
CHD_bourgeois_dictatorship;Republic Of Chad;Republic Of Chad;Republic Of Chad;;;;;;;;;;;x;
CHD_fascist_dictatorship;State of Chad;State of Chad;State of Chad;;;;;;;;;;;x;
CHD_absolute_monarchy;Chad;Chad;Chad;;;;;;;;;;;x;
CHD_prussian_constitutionalism;Chad;Chad;Chad;;;;;;;;;;;x;
CHD_hms_government;Chad;Chad;Chad;;;;;;;;;;;x;
CHD_democracy;Chad;Chad;Chad;;;;;;;;;;;x;
CHD_conservative_92;Conservatives;Conservatives;Conservatives;;;;;;;;;;;x;
CHD_liberal_79;Liberals;Liberals;Liberals;;;;;;;;;;;x;
CHD_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
CHD_socialist_85;Socialists;Socialists;Socialists;;;;;;;;;;;x;
CHD_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x;
CHD_reactionary_84;Monarchy Leadership;Monarchy Leadership;Monarchy Leadership;;;;;;;;;;;x;
CHD_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
CHD_communist_86;Communists;Communists;Communists;;;;;;;;;;;x;
CHD_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x;
