LEO_ADJ;Castilian;Castilian;Castilian;;;;;;;;;;;x
LEO;Castille and Leon;Castille and Leon;Castille and Leon;;;;;;;;;;;x
LEO_proletarian_dictatorship;Socialist Republic of Castillle;Socialist Republic of Castillle;Socialist Republic of Castillle;;;;;;;;;;;x
LEO_presidential_dictatorship;United Republic of Castille and Leon;United Republic of Castille and Leon;United Republic of Castille and Leon;;;;;;;;;;;x
LEO_bourgeois_dictatorship;United Republic of Castille and Leon;United Republic of Castille and Leon;United Republic of Castille and Leon;;;;;;;;;;;x
LEO_fascist_dictatorship;Greater Castille and Leon;Greater Castille and Leon;Greater Castille and Leon;;;;;;;;;;;x
LEO_absolute_monarchy;Castille and Leon;Castille and Leon;Castille and Leon;;;;;;;;;;;x
LEO_prussian_constitutionalism;Castille and Leon;Castille and Leon;Castille and Leon;;;;;;;;;;;x
LEO_hms_government;Castille and Leon;Castille and Leon;Castille and Leon;;;;;;;;;;;x
LEO_democracy;Castille and Leon;Castille and Leon;Castille and Leon;;;;;;;;;;;x
LEO_conservative_92;Conservatives;Conservatives;Conservatives;;;;;;;;;;;x
LEO_liberal_79;Liberals;Liberals;Liberals;;;;;;;;;;;x
LEO_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x
LEO_socialist_85;Socialists;Socialists;Socialists;;;;;;;;;;;x
LEO_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x
LEO_reactionary_84;Monarchy Leadership;Monarchy Leadership;Monarchy Leadership;;;;;;;;;;;x
LEO_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x
LEO_communist_86;Communists;Communists;Communists;;;;;;;;;;;x
LEO_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x
