COR_ADJ;Corsican;Corsican;Corsican;;;;;;;;;;;x;
COR;Corsica;Corsica;Corsica;;;;;;;;;;;x;
COR_proletarian_dictatorship;Corsica;Corsica;Corsica;;;;;;;;;;;x;
COR_presidential_dictatorship;Republic of Corsica;Republic of Corsica;Republic of Corsica;;;;;;;;;;;x;
COR_bourgeois_dictatorship;Republic of Corsica;Republic of Corsica;Republic of Corsica;;;;;;;;;;;x;
COR_fascist_dictatorship;Corsica;Corsica;Corsica;;;;;;;;;;;x;
COR_absolute_monarchy;Corsica;Corsica;Corsica;;;;;;;;;;;x;
COR_prussian_constitutionalism;Corsica;Corsica;Corsica;;;;;;;;;;;x;
COR_hms_government;Corsica;Corsica;Corsica;;;;;;;;;;;x;
COR_democracy;Republic of Corsica;Republic of Corsica;Republic of Corsica;;;;;;;;;;;x;
COR_conservative_101;Corsican Popular Party;Corsican Popular Party;Corsican Popular Party;;;;;;;;;;;x;
COR_liberal_80;Liberals ;Liberals ;Liberals ;;;;;;;;;;;x;
COR_liberal_84;Liberal Party ;Liberal Party ;Liberal Party ;;;;;;;;;;;x;
COR_socialist_85;Socialists;Socialists;Socialists;;;;;;;;;;;x;
COR_socialist_96;Social Democrats;Social Democrats;Social Democrats;;;;;;;;;;;x;
COR_reactionary_84;Monarchy Leadership;Monarchy Leadership;Monarchy Leadership;;;;;;;;;;;x;
COR_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
COR_communist_86;Communists;Communists;Communists;;;;;;;;;;;x;
COR_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x;
