DAR_ADJ;Darfurian;Darfurian;Darfurian;;;;;;;;;;;x;
DAR;Darfur;Darfur;Darfur;;;;;;;;;;;x;
DAR_proletarian_dictatorship;People´s Republic of Darfur;People´s Republic of Darfur;People´s Republic of Darfur;;;;;;;;;;;x;
DAR_presidential_dictatorship;Republic Of Darfur;Republic Of Darfur;Republic Of Darfur;;;;;;;;;;;x;
DAR_bourgeois_dictatorship;Republic Of Darfur;Republic Of Darfur;Republic Of Darfur;;;;;;;;;;;x;
DAR_fascist_dictatorship;Darfur;Darfur;Darfur;;;;;;;;;;;x;
DAR_absolute_monarchy;Darfur;Darfur;Darfur;;;;;;;;;;;x;
DAR_prussian_constitutionalism;Darfur;Darfur;Darfur;;;;;;;;;;;x;
DAR_hms_government;Darfur;Darfur;Darfur;;;;;;;;;;;x;
DAR_democracy;Darfur;Darfur;Darfur;;;;;;;;;;;x;
DAR_conservative_92;Conservatives;Conservatives;Conservatives;;;;;;;;;;;x;
DAR_liberal_79;Liberals;Liberals;Liberals;;;;;;;;;;;x;
DAR_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
DAR_socialist_85;Socialists;Socialists;Socialists;;;;;;;;;;;x;
DAR_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x;
DAR_reactionary_84;Monarchy Leadership;Monarchy Leadership;Monarchy Leadership;;;;;;;;;;;x;
DAR_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
DAR_communist_86;Communists;Communists;Communists;;;;;;;;;;;x;
DAR_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x;
