EAN_ADJ;Newollander;Newollander;Newollander;;;;;;;;;;;x;
EAN;Newolland;Newolland;Newolland;;;;;;;;;;;x;
EAN_proletarian_dictatorship;People´s Republic of Newolland;People´s Republic of Newolland;People´s Republic of Newolland;;;;;;;;;;;x;
EAN_presidential_dictatorship;Republic Newolland;Republic Newolland;Republic Newolland;;;;;;;;;;;x;
EAN_bourgeois_dictatorship;Republic Newolland;Republic Newolland;Republic Newolland;;;;;;;;;;;x;
EAN_fascist_dictatorship;State of Newolland;State of Newolland;State of Newolland;;;;;;;;;;;x;
EAN_absolute_monarchy;Newolland;Newolland;Newolland;;;;;;;;;;;x;
EAN_prussian_constitutionalism;Newolland;Newolland;Newolland;;;;;;;;;;;x;
EAN_hms_government;Newolland;Newolland;Newolland;;;;;;;;;;;x;
EAN_democracy;Republic Newolland;Republic Newolland;Republic Newolland;;;;;;;;;;;x;
EAN_conservative_92;Conservatives;Conservatives;Conservatives;;;;;;;;;;;x;
EAN_liberal_79;Liberals;Liberals;Liberals;;;;;;;;;;;x;
EAN_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
EAN_socialist_85;Socialists;Socialists;Socialists;;;;;;;;;;;x;
EAN_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x;
EAN_reactionary_84;Monarchy Leadership;Monarchy Leadership;Monarchy Leadership;;;;;;;;;;;x;
EAN_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
EAN_communist_86;Communists;Communists;Communists;;;;;;;;;;;x;
EAN_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x;
