EUS_ADJ;Basque;Basque;Basque;;;;;;;;;;;x;
EUS;Euskadi;Euskadi;Euskadi;;;;;;;;;;;x;
EUS_proletarian_dictatorship;Peoples Republic of Euskadi;Peoples Republic of Euskadi;Peoples Republic of Euskadi;;;;;;;;;;;x;
EUS_presidential_dictatorship;Republic of Euskadi;Republic of Euskadi;Republic of Euskadi;;;;;;;;;;;x;
EUS_bourgeois_dictatorship;Republic of Euskadi;Republic of Euskadi;Republic of Euskadi;;;;;;;;;;;x;
EUS_fascist_dictatorship;State of Euskadi;State of Euskadi;State of Euskadi;;;;;;;;;;;x;
EUS_absolute_monarchy;Kingdom of Euskadi;Kingdom of Euskadi;Kingdom of Euskadi;;;;;;;;;;;x;
EUS_prussian_constitutionalism;Kingdom of Euskadi;Kingdom of Euskadi;Kingdom of Euskadi;;;;;;;;;;;x;
EUS_hms_government;Kingdom of Euskadi;Kingdom of Euskadi;Kingdom of Euskadi;;;;;;;;;;;x;
EUS_democracy;Euskadi;Euskadi;Euskadi;;;;;;;;;;;x;
EUS_conservative_93;National Unity;National Unity;National Unity;;;;;;;;;;;x;
EUS_liberal_79;Liberals;Liberals;Liberals;;;;;;;;;;;x;
EUS_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
EUS_socialist_103;Euskadiko Alderdi Sozialista;Euskadiko Alderdi Sozialista;Euskadiko Alderdi Sozialista;;;;;;;;;;;x;
EUS_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x;
EUS_reactionary_84;Monarchy Leadership;Monarchy Leadership;Monarchy Leadership;;;;;;;;;;;x;
EUS_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
EUS_communist_86;Communists;Communists;Communists;;;;;;;;;;;x;
EUS_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x;
