ECF_ADJ;Caribbean;Caribbean;Caribbean;;;;;;;;;;;x;
ECF;East Caribbean Federation;East Caribbean Federation;East Caribbean Federation;;;;;;;;;;;x;
ECF_proletarian_dictatorship;East Caribbean Commune;East Caribbean Commune;East Caribbean Commune;;;;;;;;;;;x;
ECF_presidential_dictatorship;East Caribbean Republic;East Caribbean Republic;East Caribbean Republic;;;;;;;;;;;x;
ECF_bourgeois_dictatorship;East Caribbean Republic;East Caribbean Republic;East Caribbean Republic;;;;;;;;;;;x;
ECF_fascist_dictatorship;Greater Caribbean Republic;Greater Caribbean Republic;Greater Caribbean Republic;;;;;;;;;;;x;
ECF_absolute_monarchy;East Caribbean Kingdom;East Caribbean Kingdom;East Caribbean Kingdom;;;;;;;;;;;x;
ECF_prussian_constitutionalism;East Caribbean Kingdom;East Caribbean Kingdom;East Caribbean Kingdom;;;;;;;;;;;x;
ECF_hms_government;East Caribbean Kingdom;East Caribbean Kingdom;East Caribbean Kingdom;;;;;;;;;;;x;
ECF_democracy;East Caribbean Federation;East Caribbean Federation;East Caribbean Federation;;;;;;;;;;;x;
ECF_conservative_97;Conservative Party;Conservative Party;Conservative Party;;;;;;;;;;;x;
ECF_liberal_84;Liberal Party;Liberal Party;Liberal Party;;;;;;;;;;;x;
ECF_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
ECF_socialist_85;Socialists;Socialists;Socialists;;;;;;;;;;;x;
ECF_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x;
ECF_reactionary_81;One Nation Party;One Nation Party;One Nation Party;;;;;;;;;;;x;
ECF_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
ECF_communist_101;Caribbean Communist Party;Caribbean Communist Party;Caribbean Communist Party;;;;;;;;;;;x;
ECF_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x;
