ENL_ADJ;English;English;English;;;;;;;;;;;x;
ENL;England;England;England;;;;;;;;;;;x;
ENL_proletarian_dictatorship;Union of England;Union of England;Union of England;;;;;;;;;;;x;
ENL_presidential_dictatorship;English Republic;English Republic;English Republic;;;;;;;;;;;x;
ENL_bourgeois_dictatorship;English Republic;English Republic;English Republic;;;;;;;;;;;x;
ENL_fascist_dictatorship;Greater England;Greater England;Greater England;;;;;;;;;;;x;
ENL_absolute_monarchy;England;England;England;;;;;;;;;;;x;
ENL_prussian_constitutionalism;England;England;England;;;;;;;;;;;x;
ENL_hms_government;England;England;England;;;;;;;;;;;x;
ENL_democracy;England;England;England;;;;;;;;;;;x;
ENL_conservative_110;Conservative and Unionist Party;Conservative and Unionist Party;Conservative and Unionist Party;;;;;;;;;;;x;
ENL_liberal_84;Liberal Party;Liberal Party;Liberal Party;;;;;;;;;;;x;
ENL_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
ENL_socialist_87;Labour Party;Labour Party;Labour Party;;;;;;;;;;;x;
ENL_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x;
ENL_reactionary_74;The Crown;The Crown;The Crown;;;;;;;;;;;x;
ENL_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
ENL_communist_79;CPE;CPE;CPE;;;;;;;;;;;x;
ENL_fascist_67;EUF;EUF;EUF;;;;;;;;;;;x;
