ERI_ADJ;Eritrean;Eritrean;Eritrean;;;;;;;;;;;x;
ERI;Eritrea;Eritrea;Eritrea;;;;;;;;;;;x;
ERI_proletarian_dictatorship;People´s Republic of Eritrea;People´s Republic of Eritrea;People´s Republic of Eritrea;;;;;;;;;;;x;
ERI_presidential_dictatorship;Republic Of Eritrea;Republic Of Eritrea;Republic Of Eritrea;;;;;;;;;;;x;
ERI_bourgeois_dictatorship;Republic Of Eritrea;Republic Of Eritrea;Republic Of Eritrea;;;;;;;;;;;x;
ERI_fascist_dictatorship;State of Eritrea;State of Eritrea;State of Eritrea;;;;;;;;;;;x;
ERI_absolute_monarchy;Eritrea;Eritrea;Eritrea;;;;;;;;;;;x;
ERI_prussian_constitutionalism;Eritrea;Eritrea;Eritrea;;;;;;;;;;;x;
ERI_hms_government;Eritrea;Eritrea;Eritrea;;;;;;;;;;;x;
ERI_democracy;Eritrea;Eritrea;Eritrea;;;;;;;;;;;x;
ERI_conservative_92;Conservatives;Conservatives;Conservatives;;;;;;;;;;;x;
ERI_liberal_79;Liberals;Liberals;Liberals;;;;;;;;;;;x;
ERI_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
ERI_socialist_85;Socialists;Socialists;Socialists;;;;;;;;;;;x;
ERI_socialist_120;People's Front for Democracy and Justice;People's Front for Democracy and Justice;People's Front for Democracy and Justice;;;;;;;;;;;x;
ERI_reactionary_84;Monarchy Leadership;Monarchy Leadership;Monarchy Leadership;;;;;;;;;;;x;
ERI_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
ERI_communist_86;Communists;Communists;Communists;;;;;;;;;;;x;
ERI_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x;
