EXT_ADJ;Extremaduran;Extremaduran;Extremaduran;;;;;;;;;;;x
EXT;Extremadura;Extremadura;Extremadura;;;;;;;;;;;x
EXT_proletarian_dictatorship;People´s Republic of Extremadura;People´s Republic of Extremadura;People´s Republic of Extremadura;;;;;;;;;;;x
EXT_presidential_dictatorship;Republic of Extremadura;Republic of Extremadura;Republic of Extremadura;;;;;;;;;;;x
EXT_bourgeois_dictatorship;Republic of Extremadura;Republic of Extremadura;Republic of Extremadura;;;;;;;;;;;x
EXT_fascist_dictatorship;Falangist State of Extremadura;Falangist State of Extremadura;Falangist State of Extremadura;;;;;;;;;;;x
EXT_absolute_monarchy;Extremadura;Extremadura;Extremadura;;;;;;;;;;;x
EXT_prussian_constitutionalism;Extremadura;Extremadura;Extremadura;;;;;;;;;;;x
EXT_hms_government;Extremadura;Extremadura;Extremadura;;;;;;;;;;;x
EXT_democracy;Extremadura;Extremadura;Extremadura;;;;;;;;;;;x
EXT_conservative_94;Partido Español;Partido Español;Partido Español;;;;;;;;;;;x
EXT_liberal_95;Partiu Estremeñu Populal;Partiu Estremeñu Populal;Partiu Estremeñu Populal;;;;;;;;;;;x
EXT_liberal_85;Estremaura Unia;Estremaura Unia;Estremaura Unia;;;;;;;;;;;x
EXT_socialist_91;Izquierda Unida ;Izquierda Unida ;Izquierda Unida ;;;;;;;;;;;x
EXT_socialist_113;Partido Socialista Obrero Español;Partido Socialista Obrero Español;Partido Socialista Obrero Español;;;;;;;;;;;x
EXT_reactionary_77;Partiu d'Rey;Partiu d'Rey;Partiu d'Rey;;;;;;;;;;;x
EXT_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x
EXT_communist_86;Communists;Communists;Communists;;;;;;;;;;;x
EXT_fascist_80;Unión Falangista;Unión Falangista;Unión Falangista;;;;;;;;;;;x
