FRI_ADJ;Frisian;Frisian;Frisian;;;;;;;;;;;x;
FRI;Friesland;Friesland;Friesland;;;;;;;;;;;x;
FRI_proletarian_dictatorship;Commune of Friesland;Commune of Friesland;Commune of Friesland;;;;;;;;;;;x;
FRI_presidential_dictatorship;Frisian Free State ;Frisian Free State ;Frisian Free State ;;;;;;;;;;;x;
FRI_bourgeois_dictatorship;Republic of Frisia;Republic of Frisia;Republic of Frisia;;;;;;;;;;;x;
FRI_fascist_dictatorship;Frisian Free State ;Frisian Free State ;Frisian Free State ;;;;;;;;;;;x;
FRI_absolute_monarchy;Duchy of Frisia;Duchy of Frisia;Duchy of Frisia;;;;;;;;;;;x;
FRI_prussian_constitutionalism;Duchy of Frisia;Duchy of Frisia;Duchy of Frisia;;;;;;;;;;;x;
FRI_hms_government;Duchy of Frisia;Duchy of Frisia;Duchy of Frisia;;;;;;;;;;;x;
FRI_democracy;Frisian Free State ;Frisian Free State ;Frisian Free State ;;;;;;;;;;;x;
FRI_conservative_92;Conservatives;Conservatives;Conservatives;;;;;;;;;;;x;
FRI_liberal_79;Liberals;Liberals;Liberals;;;;;;;;;;;x;
FRI_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
FRI_socialist_85;Socialists;Socialists;Socialists;;;;;;;;;;;x;
FRI_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x;
FRI_reactionary_84;Monarchy Leadership;Monarchy Leadership;Monarchy Leadership;;;;;;;;;;;x;
FRI_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
FRI_communist_86;Communists;Communists;Communists;;;;;;;;;;;x;
FRI_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x;
