GAC_ADJ;Galician Lodmerian;Galician Lodmerian;Galician Lodmerian;;;;;;;;;;;x;
GAC;Galicia and Lodomeria;Galicia and Lodomeria;Galicia and Lodomeria;;;;;;;;;;;x;
GAC_proletarian_dictatorship;Soviet State of Galicia and Lodomeria;Soviet State of Galicia and Lodomeria;Soviet State of Galicia and Lodomeria;;;;;;;;;;;x;
GAC_presidential_dictatorship;Galician and Lodomerian Federation;Galician and Lodomerian Federation;Galician and Lodomerian Federation;;;;;;;;;;;x;
GAC_bourgeois_dictatorship;Galician and Lodomerian Federation;Galician and Lodomerian Federation;Galician and Lodomerian Federation;;;;;;;;;;;x;
GAC_fascist_dictatorship;State of Volhynia;State of Volhynia;State of Volhynia;;;;;;;;;;;x;
GAC_absolute_monarchy;Galicia and Lodomeria;Galicia and Lodomeria;Galicia and Lodomeria;;;;;;;;;;;x;
GAC_prussian_constitutionalism;Galicia and Lodomeria;Galicia and Lodomeria;Galicia and Lodomeria;;;;;;;;;;;x;
GAC_hms_government;Galicia and Lodomeria;Galicia and Lodomeria;Galicia and Lodomeria;;;;;;;;;;;x;
GAC_democracy;Galicia and Lodomeria;Galicia and Lodomeria;Galicia and Lodomeria;;;;;;;;;;;x;
GAC_conservative_92;Conservatives;Conservatives;Conservatives;;;;;;;;;;;x;
GAC_liberal_79;Liberals;Liberals;Liberals;;;;;;;;;;;x;
GAC_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
GAC_socialist_85;Socialists;Socialists;Socialists;;;;;;;;;;;x;
GAC_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x;
GAC_reactionary_84;Monarchy Leadership;Monarchy Leadership;Monarchy Leadership;;;;;;;;;;;x;
GAC_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
GAC_communist_86;Communists;Communists;Communists;;;;;;;;;;;x;
GAC_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x;
