GUC_ADJ;Guyanese;Guyanese;Guyanese;;;;;;;;;;;x;
GUC;Guyana Cooperative;Guyana Cooperative;Guyana Cooperative;;;;;;;;;;;x;
GUC_proletarian_dictatorship;Guyana Cooperative;Guyana Cooperative;Guyana Cooperative;;;;;;;;;;;x;
GUC_presidential_dictatorship;Guyana Cooperative;Guyana Cooperative;Guyana Cooperative;;;;;;;;;;;x;
GUC_bourgeois_dictatorship;Guyana Cooperative;Guyana Cooperative;Guyana Cooperative;;;;;;;;;;;x;
GUC_fascist_dictatorship;Guyana Cooperative;Guyana Cooperative;Guyana Cooperative;;;;;;;;;;;x;
GUC_absolute_monarchy;Guyana Cooperative;Guyana Cooperative;Guyana Cooperative;;;;;;;;;;;x;
GUC_prussian_constitutionalism;Guyana Cooperative;Guyana Cooperative;Guyana Cooperative;;;;;;;;;;;x;
GUC_hms_government;Guyana Cooperative;Guyana Cooperative;Guyana Cooperative;;;;;;;;;;;x;
GUC_democracy;Guyana Cooperative;Guyana Cooperative;Guyana Cooperative;;;;;;;;;;;x;
GUC_conservative_92;Conservatives;Conservatives;Conservatives;;;;;;;;;;;x;
GUC_liberal_79;Liberals;Liberals;Liberals;;;;;;;;;;;x;
GUC_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
GUC_socialist_85;Socialists;Socialists;Socialists;;;;;;;;;;;x;
GUC_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x;
GUC_reactionary_84;Monarchy Leadership;Monarchy Leadership;Monarchy Leadership;;;;;;;;;;;x;
GUC_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
GUC_communist_86;Communists;Communists;Communists;;;;;;;;;;;x;
GUC_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x;
