GEN_ADJ;Genoan;Genoan;Genoan;;;;;;;;;;;x
GEN;Genoa;Genoa;Genoa;;;;;;;;;;;x
GEN_proletarian_dictatorship;Genoa;Genoa;Genoa;;;;;;;;;;;x
GEN_presidential_dictatorship;Republic of Genoa;Republic of Genoa;Republic of Genoa;;;;;;;;;;;x
GEN_bourgeois_dictatorship;Republic of Genoa;Republic of Genoa;Republic of Genoa;;;;;;;;;;;x
GEN_fascist_dictatorship;Genoa;Genoa;Genoa;;;;;;;;;;;x
GEN_absolute_monarchy;Genoa;Genoa;Genoa;;;;;;;;;;;x
GEN_prussian_constitutionalism;Genoa;Genoa;Genoa;;;;;;;;;;;x
GEN_hms_government;Genoa;Genoa;Genoa;;;;;;;;;;;x
GEN_democracy;Genoa;Genoa;Genoa;;;;;;;;;;;x
GEN_conservative_92;Christian Democracy ;Christian Democracy ;Christian Democracy ;;;;;;;;;;;x
GEN_liberal_79;Liberals;Liberals;Liberals;;;;;;;;;;;x
GEN_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x
GEN_socialist_85;Genovesi Socialist Party ;Genovesi Socialist Party ;Genovesi Socialist Party ;;;;;;;;;;;x
GEN_socialist_99;Genovesi Republican Party;Genovesi Republican Party;Genovesi Republican Party;;;;;;;;;;;x
GEN_reactionary_84;Monarchist Alliance ;Monarchist Alliance ;Monarchist Alliance ;;;;;;;;;;;x
GEN_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x
GEN_communist_86;Italian Communist Party ;Italian Communist Party ;Italian Communist Party ;;;;;;;;;;;x
GEN_fascist_72;Italian Social Movement;Italian Social Movement;Italian Social Movement;;;;;;;;;;;x
