GSA_ADJ;German African;German African;German African;;;;;;;;;;;x;
GSA;German Southwest Africa;German Southwest Africa;German Southwest Africa;;;;;;;;;;;x;
GSA_proletarian_dictatorship;GSADR;GSADR;GSADR;;;;;;;;;;;x;
GSA_presidential_dictatorship;German Southwest Africa;German Southwest Africa;German Southwest Africa;;;;;;;;;;;x;
GSA_bourgeois_dictatorship;German Southwest Africa;German Southwest Africa;German Southwest Africa;;;;;;;;;;;x;
GSA_fascist_dictatorship;State of German Southwest Africa;State of German Southwest Africa;State of German Southwest Africa;;;;;;;;;;;x;
GSA_absolute_monarchy;German Southwest Africa;German Southwest Africa;German Southwest Africa;;;;;;;;;;;x;
GSA_prussian_constitutionalism;German Southwest Africa;German Southwest Africa;German Southwest Africa;;;;;;;;;;;x;
GSA_hms_government;German Southwest Africa;German Southwest Africa;German Southwest Africa;;;;;;;;;;;x;
GSA_democracy;Republic of German Southwest Africa;Republic of German Southwest Africa;Republic of German Southwest Africa;;;;;;;;;;;x;
GSA_conservative_92;Conservatives;Conservatives;Conservatives;;;;;;;;;;;x;
GSA_liberal_79;Liberals;Liberals;Liberals;;;;;;;;;;;x;
GSA_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
GSA_socialist_85;Socialists;Socialists;Socialists;;;;;;;;;;;x;
GSA_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x;
GSA_reactionary_84;Monarchy Leadership;Monarchy Leadership;Monarchy Leadership;;;;;;;;;;;x;
GSA_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
GSA_communist_86;Communists;Communists;Communists;;;;;;;;;;;x;
GSA_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x;
