COI_ADJ;Iberian;Iberian;Iberian;;;;;;;;;;;x;
COI;Iberian Confederacy;Iberian Confederacy;Iberian Confederacy;;;;;;;;;;;x;
COI_proletarian_dictatorship;Iberian Socialist Confederacy;Iberian Socialist Confederacy;Iberian Socialist Confederacy;;;;;;;;;;;x;
COI_presidential_dictatorship;Iberian Republic;Iberian Republic;Iberian Republic;;;;;;;;;;;x;
COI_bourgeois_dictatorship;Iberian Republic;Iberian Republic;Iberian Republic;;;;;;;;;;;x;
COI_fascist_dictatorship;Greater Iberian State;Greater Iberian State;Greater Iberian State;;;;;;;;;;;x;
COI_absolute_monarchy;Kingdom of Iberia;Kingdom of Iberia;Kingdom of Iberia;;;;;;;;;;;x;
COI_prussian_constitutionalism;Kingdom of Iberia;Kingdom of Iberia;Kingdom of Iberia;;;;;;;;;;;x;
COI_hms_government;Kingdom of Iberia;Kingdom of Iberia;Kingdom of Iberia;;;;;;;;;;;x;
COI_democracy;Iberian Confederacy;Iberian Confederacy;Iberian Confederacy;;;;;;;;;;;x;
COI_conservative_92;Conservatives;Conservatives;Conservatives;;;;;;;;;;;x;
COI_liberal_79;Liberals;Liberals;Liberals;;;;;;;;;;;x;
COI_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
COI_socialist_85;Socialists;Socialists;Socialists;;;;;;;;;;;x;
COI_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x;
COI_reactionary_84;Monarchy Leadership;Monarchy Leadership;Monarchy Leadership;;;;;;;;;;;x;
COI_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
COI_communist_86;Communists;Communists;Communists;;;;;;;;;;;x;
COI_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x;
