IDA_ADJ;Indonesian;Indonesian;Indonesian;;;;;;;;;;;x
IDA;Indonesia;Indonesia;Indonesia;;;;;;;;;;;x
IDA_proletarian_dictatorship;Peoples Republic of Indonesia;Peoples Republic of Indonesia;Peoples Republic of Indonesia;;;;;;;;;;;x
IDA_presidential_dictatorship;Indonesia;Indonesia;Indonesia;;;;;;;;;;;x
IDA_bourgeois_dictatorship;Indonesia;Indonesia;Indonesia;;;;;;;;;;;x
IDA_fascist_dictatorship;Greather Indonesian State;Greather Indonesian State;Greather Indonesian State;;;;;;;;;;;x
IDA_absolute_monarchy;Indonesia;Indonesia;Indonesia;;;;;;;;;;;x
IDA_prussian_constitutionalism;Indonesia;Indonesia;Indonesia;;;;;;;;;;;x
IDA_hms_government;Indonesia;Indonesia;Indonesia;;;;;;;;;;;x
IDA_democracy;Indonesia;Indonesia;Indonesia;;;;;;;;;;;x
IDA_conservative_92;Conservatives;Conservatives;Conservatives;;;;;;;;;;;x
IDA_liberal_79;Liberals;Liberals;Liberals;;;;;;;;;;;x
IDA_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x
IDA_socialist_85;Socialists;Socialists;Socialists;;;;;;;;;;;x
IDA_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x
IDA_reactionary_77;Nationalists;Nationalists;Nationalists;;;;;;;;;;;x
IDA_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x
IDA_communist_104;Communist Party of Indonesia;Communist Party of Indonesia;Communist Party of Indonesia;;;;;;;;;;;x
IDA_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x
