JOR_ADJ;Jordan;Jordan;Jordan;;;;;;;;;;;x;
JOR;Jordan;Jordan;Jordan;;;;;;;;;;;x;
JOR_proletarian_dictatorship;Socialist Republic of Jordan;Socialist Republic of Jordan;Socialist Republic of Jordan;;;;;;;;;;;x;
JOR_presidential_dictatorship;Republic of Jordan;Republic of Jordan;Republic of Jordan;;;;;;;;;;;x;
JOR_bourgeois_dictatorship;Republic of Jordan;Republic of Jordan;Republic of Jordan;;;;;;;;;;;x;
JOR_fascist_dictatorship;Arab Jordanian Republic;Arab Jordanian Republic;Arab Jordanian Republic;;;;;;;;;;;x;
JOR_absolute_monarchy;Jordan;Jordan;Jordan;;;;;;;;;;;x;
JOR_prussian_constitutionalism;Jordan;Jordan;Jordan;;;;;;;;;;;x;
JOR_hms_government;Jordan;Jordan;Jordan;;;;;;;;;;;x;
JOR_democracy;Jordan;Jordan;Jordan;;;;;;;;;;;x;
JOR_conservative_92;Conservatives;Conservatives;Conservatives;;;;;;;;;;;x;
JOR_liberal_81;Ma'an List;Ma'an List;Ma'an List;;;;;;;;;;;x;
JOR_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
JOR_socialist_85;Socialists;Socialists;Socialists;;;;;;;;;;;x;
JOR_socialist_120;Jordanian Democratic Popular Unity Party;Jordanian Democratic Popular Unity Party;Jordanian Democratic Popular Unity Party;;;;;;;;;;;x;
JOR_reactionary_84;Monarchy Leadership;Monarchy Leadership;Monarchy Leadership;;;;;;;;;;;x;
JOR_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
JOR_communist_101;Jordanian Communist Party;Jordanian Communist Party;Jordanian Communist Party;;;;;;;;;;;x;
JOR_fascist_85;Islamic Action Front ;Islamic Action Front ;Islamic Action Front ;;;;;;;;;;;x;
