KAR_ADJ;Karelian;Karelian;Karelian;;;;;;;;;;;x;
KAR;Karelia;Karelia;Karelia;;;;;;;;;;;x;
KAR_proletarian_dictatorship;Soviet Republic of Karelia;Soviet Republic of Karelia;Soviet Republic of Karelia;;;;;;;;;;;x;
KAR_presidential_dictatorship;Republic of Karelia;Republic of Karelia;Republic of Karelia;;;;;;;;;;;x;
KAR_bourgeois_dictatorship;Republic of Karelia;Republic of Karelia;Republic of Karelia;;;;;;;;;;;x;
KAR_fascist_dictatorship;State of Karelia;State of Karelia;State of Karelia;;;;;;;;;;;x;
KAR_absolute_monarchy;Karelia;Karelia;Karelia;;;;;;;;;;;x;
KAR_prussian_constitutionalism;Karelia;Karelia;Karelia;;;;;;;;;;;x;
KAR_hms_government;Karelia;Karelia;Karelia;;;;;;;;;;;x;
KAR_democracy;Karelia;Karelia;Karelia;;;;;;;;;;;x;
KAR_conservative_92;Conservatives;Conservatives;Conservatives;;;;;;;;;;;x;
KAR_liberal_79;Liberals;Liberals;Liberals;;;;;;;;;;;x;
KAR_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
KAR_socialist_85;Socialists;Socialists;Socialists;;;;;;;;;;;x;
KAR_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x;
KAR_reactionary_84;Monarchy Leadership;Monarchy Leadership;Monarchy Leadership;;;;;;;;;;;x;
KAR_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
KAR_communist_86;Communists;Communists;Communists;;;;;;;;;;;x;
KAR_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x;
