KUR_ADJ;Kurdish;Kurdish;Kurdish;;;;;;;;;;;x;
KUR;Kurdistan;Kurdistan;Kurdistan;;;;;;;;;;;x;
KUR_proletarian_dictatorship;Socialist Republic of Kurdistan;Socialist Republic of Kurdistan;Socialist Republic of Kurdistan;;;;;;;;;;;x;
KUR_presidential_dictatorship;Republic of Kurdistan;Republic of Kurdistan;Republic of Kurdistan;;;;;;;;;;;x;
KUR_bourgeois_dictatorship;Republic of Kurdistan;Republic of Kurdistan;Republic of Kurdistan;;;;;;;;;;;x;
KUR_fascist_dictatorship;United Kurdistan;United Kurdistan;United Kurdistan;;;;;;;;;;;x;
KUR_absolute_monarchy;Kurdistan;Kurdistan;Kurdistan;;;;;;;;;;;x;
KUR_prussian_constitutionalism;Kurdistan;Kurdistan;Kurdistan;;;;;;;;;;;x;
KUR_hms_government;Kurdistan;Kurdistan;Kurdistan;;;;;;;;;;;x;
KUR_democracy;Kurdistan;Kurdistan;Kurdistan;;;;;;;;;;;x;
KUR_conservative_92;Conservatives;Conservatives;Conservatives;;;;;;;;;;;x;
KUR_liberal_99;Patriotic Union of Kurdistan;Patriotic Union of Kurdistan;Patriotic Union of Kurdistan;;;;;;;;;;;x;
KUR_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
KUR_socialist_85;Socialists;Socialists;Socialists;;;;;;;;;;;x;
KUR_socialist_102;Kurdish Workers' Party;Kurdish Workers' Party;Kurdish Workers' Party;;;;;;;;;;;x;
KUR_reactionary_91;Kurdistan Democratic Party;Kurdistan Democratic Party;Kurdistan Democratic Party;;;;;;;;;;;x;
KUR_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
KUR_communist_86;Communists;Communists;Communists;;;;;;;;;;;x;
KUR_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x;
