MAL_ADJ;Malta;Malta;Malta;;;;;;;;;;;x;
MAL;Malta;Malta;Malta;;;;;;;;;;;x;
MAL_proletarian_dictatorship;People´s Republic of Malta;People´s Republic of Malta;People´s Republic of Malta;;;;;;;;;;;x;
MAL_presidential_dictatorship;Malta;Malta;Malta;;;;;;;;;;;x;
MAL_bourgeois_dictatorship;Malta;Malta;Malta;;;;;;;;;;;x;
MAL_fascist_dictatorship;Malta;Malta;Malta;;;;;;;;;;;x;
MAL_absolute_monarchy;Malta;Malta;Malta;;;;;;;;;;;x;
MAL_prussian_constitutionalism;Malta;Malta;Malta;;;;;;;;;;;x;
MAL_hms_government;Malta;Malta;Malta;;;;;;;;;;;x;
MAL_democracy;Malta;Malta;Malta;;;;;;;;;;;x;
MAL_conservative_101;English Imperial Party;English Imperial Party;English Imperial Party;;;;;;;;;;;x;
MAL_liberal_79;Liberals;Liberals;Liberals;;;;;;;;;;;x;
MAL_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
MAL_socialist_86;Labor Party;Labor Party;Labor Party;;;;;;;;;;;x;
MAL_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x;
MAL_reactionary_82;Nationalist Party;Nationalist Party;Nationalist Party;;;;;;;;;;;x;
MAL_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
MAL_communist_86;Communists;Communists;Communists;;;;;;;;;;;x;
MAL_fascist_75;Cross Party;Cross Party;Cross Party;;;;;;;;;;;x;
