MAC_ADJ;Macedonia;Macedonia;Macedonia;;;;;;;;;;;x
MAC;Macedonia;Macedonia;Macedonia;;;;;;;;;;;x
MAC_proletarian_dictatorship;Socialist Republic of Macedonia;Socialist Republic of Macedonia;Socialist Republic of Macedonia;;;;;;;;;;;x
MAC_presidential_dictatorship;Macedonia;Macedonia;Macedonia;;;;;;;;;;;x
MAC_bourgeois_dictatorship;Macedonia;Macedonia;Macedonia;;;;;;;;;;;x
MAC_fascist_dictatorship;Greater Macedonia;Greater Macedonia;Greater Macedonia;;;;;;;;;;;x
MAC_absolute_monarchy;Macedonia;Macedonia;Macedonia;;;;;;;;;;;x
MAC_prussian_constitutionalism;Macedonia;Macedonia;Macedonia;;;;;;;;;;;x
MAC_hms_government;Macedonia;Macedonia;Macedonia;;;;;;;;;;;x
MAC_democracy;Macedonia;Macedonia;Macedonia;;;;;;;;;;;x
MAC_conservative_97;Conservative Party;Conservative Party;Conservative Party;;;;;;;;;;;x
MAC_liberal_84;Liberal Party;Liberal Party;Liberal Party;;;;;;;;;;;x
MAC_liberal_83;Freedom Party;Freedom Party;Freedom Party;;;;;;;;;;;x
MAC_socialist_90;Socialist Party;Socialist Party;Socialist Party;;;;;;;;;;;x
MAC_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x
MAC_reactionary_84;Monarchy Leadership;Monarchy Leadership;Monarchy Leadership;;;;;;;;;;;x
MAC_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x
MAC_communist_86;Communists;Communists;Communists;;;;;;;;;;;x
MAC_fascist_78;National Party;National Party;National Party;;;;;;;;;;;x
