NGE_ADJ;North German;North German;North German;;;;;;;;;;;x
NGE;North Germany;North Germany;North Germany;;;;;;;;;;;x
NGE_proletarian_dictatorship;NorthGerman Socialist Republic;NorthGerman Socialist Republic;NorthGerman Socialist Republic;;;;;;;;;;;x
NGE_presidential_dictatorship;Republic of North Germany;Republic of North Germany;Republic of North Germany;;;;;;;;;;;x
NGE_bourgeois_dictatorship;Republic of North Germany;Republic of North Germany;Republic of North Germany;;;;;;;;;;;x
NGE_fascist_dictatorship;Republic of North Germany;Republic of North Germany;Republic of North Germany;;;;;;;;;;;x
NGE_absolute_monarchy;Kingdom of North Germany;Kingdom of North Germany;Kingdom of North Germany;;;;;;;;;;;x
NGE_prussian_constitutionalism;Kingdom of North Germany;Kingdom of North Germany;Kingdom of North Germany;;;;;;;;;;;x
NGE_hms_government;Kingdom of North Germany;Kingdom of North Germany;Kingdom of North Germany;;;;;;;;;;;x
NGE_democracy;Republic of North Germany;Republic of North Germany;Republic of North Germany;;;;;;;;;;;x
NGE_conservative_82;CDU;CDU;CDU;;;;;;;;;;;x
NGE_liberal_79;Liberals;Liberals;Liberals;;;;;;;;;;;x
NGE_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x
NGE_socialist_85;Socialists;Socialists;Socialists;;;;;;;;;;;x
NGE_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x
NGE_reactionary_84;Monarchy Leadership;Monarchy Leadership;Monarchy Leadership;;;;;;;;;;;x
NGE_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x
NGE_communist_86;Communists;Communists;Communists;;;;;;;;;;;x
NGE_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x
