NOT_ADJ;Northeim;Northeim;Northeim;;;;;;;;;;;x;
NOT;Northeim;Northeim;Northeim;;;;;;;;;;;x;
NOT_proletarian_dictatorship;Comune of Northeim;Comune of Northeim;Comune of Northeim;;;;;;;;;;;x;
NOT_presidential_dictatorship;Northeim;Northeim;Northeim;;;;;;;;;;;x;
NOT_bourgeois_dictatorship;Rheinland Republic;Rheinland Republic;Rheinland Republic;;;;;;;;;;;x;
NOT_fascist_dictatorship;Northeim State;Northeim State;Northeim State;;;;;;;;;;;x;
NOT_absolute_monarchy;Duchy of Northeim;Duchy of Northeim;Duchy of Northeim;;;;;;;;;;;x;
NOT_prussian_constitutionalism;Duchy of Northeim;Duchy of Northeim;Duchy of Northeim;;;;;;;;;;;x;
NOT_hms_government;Duchy of Northeim;Duchy of Northeim;Duchy of Northeim;;;;;;;;;;;x;
NOT_democracy;Northeim Republic;Northeim Republic;Northeim Republic;;;;;;;;;;;x;
NOT_conservative_92;Conservatives;Conservatives;Conservatives;;;;;;;;;;;x;
NOT_liberal_79;Liberals;Liberals;Liberals;;;;;;;;;;;x;
NOT_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
NOT_socialist_85;Socialists;Socialists;Socialists;;;;;;;;;;;x;
NOT_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x;
NOT_reactionary_82;Nationalist Party;Nationalist Party;Nationalist Party;;;;;;;;;;;x;
NOT_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
NOT_communist_86;Communists;Communists;Communists;;;;;;;;;;;x;
NOT_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x;
