NOV_ADJ;Novgorodin;Novgorodin;Novgorodin;;;;;;;;;;;x;
NOV;Novgorod;Novgorod;Novgorod;;;;;;;;;;;x;
NOV_proletarian_dictatorship;Soviet Republic of Novgorod;Soviet Republic of Novgorod;Soviet Republic of Novgorod;;;;;;;;;;;x;
NOV_presidential_dictatorship;Republic of Novgorod;Republic of Novgorod;Republic of Novgorod;;;;;;;;;;;x;
NOV_bourgeois_dictatorship;Republic of Novgorod;Republic of Novgorod;Republic of Novgorod;;;;;;;;;;;x;
NOV_fascist_dictatorship;State of Novgorod;State of Novgorod;State of Novgorod;;;;;;;;;;;x;
NOV_absolute_monarchy;Novgorod;Novgorod;Novgorod;;;;;;;;;;;x;
NOV_prussian_constitutionalism;Novgorod;Novgorod;Novgorod;;;;;;;;;;;x;
NOV_hms_government;Novgorod;Novgorod;Novgorod;;;;;;;;;;;x;
NOV_democracy;Novgorod;Novgorod;Novgorod;;;;;;;;;;;x;
NOV_conservative_92;Conservatives;Conservatives;Conservatives;;;;;;;;;;;x;
NOV_liberal_79;Liberals;Liberals;Liberals;;;;;;;;;;;x;
NOV_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
NOV_socialist_85;Socialists;Socialists;Socialists;;;;;;;;;;;x;
NOV_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x;
NOV_reactionary_84;Monarchy Leadership;Monarchy Leadership;Monarchy Leadership;;;;;;;;;;;x;
NOV_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
NOV_communist_86;Communists;Communists;Communists;;;;;;;;;;;x;
NOV_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x;
