GUY_ADJ;Guyanese;Guyanese;Guyanese;;;;;;;;;;;x;
GUY;Guyane;Guyane;Guyane;;;;;;;;;;;x;
GUY_proletarian_dictatorship;Commune of Guyane;Commune of Guyane;Commune of Guyane;;;;;;;;;;;x;
GUY_presidential_dictatorship;Republic of Guyane;Republic of Guyane;Republic of Guyane;;;;;;;;;;;x;
GUY_bourgeois_dictatorship;Republic of Guyane;Republic of Guyane;Republic of Guyane;;;;;;;;;;;x;
GUY_fascist_dictatorship;State of Guyane;State of Guyane;State of Guyane;;;;;;;;;;;x;
GUY_absolute_monarchy;Kingdom of Guyane;Kingdom of Guyane;Kingdom of Guyane;;;;;;;;;;;x;
GUY_prussian_constitutionalism;Kingdom of Guyane;Kingdom of Guyane;Kingdom of Guyane;;;;;;;;;;;x;
GUY_hms_government;Kingdom of Guyane;Kingdom of Guyane;Kingdom of Guyane;;;;;;;;;;;x;
GUY_democracy;Republic of Guyane;Republic of Guyane;Republic of Guyane;;;;;;;;;;;x;
GUY_conservative_92;Conservatives;Conservatives;Conservatives;;;;;;;;;;;x;
GUY_liberal_79;Liberals;Liberals;Liberals;;;;;;;;;;;x;
GUY_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
GUY_socialist_85;Socialists;Socialists;Socialists;;;;;;;;;;;x;
GUY_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x;
GUY_reactionary_84;Monarchy Leadership;Monarchy Leadership;Monarchy Leadership;;;;;;;;;;;x;
GUY_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
GUY_communist_86;Communists;Communists;Communists;;;;;;;;;;;x;
GUY_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x;
