RHI_ADJ;Rhenish;Rhenish;Rhenish;;;;;;;;;;;x;
RHI;Rheinland ;Rheinland ;Rheinland ;;;;;;;;;;;x;
RHI_proletarian_dictatorship;Rhenish Peoples Republic;Rhenish Peoples Republic;Rhenish Peoples Republic;;;;;;;;;;;x;
RHI_presidential_dictatorship;Rheinland Republic;Rheinland Republic;Rheinland Republic;;;;;;;;;;;x;
RHI_bourgeois_dictatorship;Rheinland Republic;Rheinland Republic;Rheinland Republic;;;;;;;;;;;x;
RHI_fascist_dictatorship;Rheinland State;Rheinland State;Rheinland State;;;;;;;;;;;x;
RHI_absolute_monarchy;Kingdom of the Rheinland;Kingdom of the Rheinland;Kingdom of the Rheinland;;;;;;;;;;;x;
RHI_prussian_constitutionalism;Kingdom of the Rheinland;Kingdom of the Rheinland;Kingdom of the Rheinland;;;;;;;;;;;x;
RHI_hms_government;Kingdom of the Rheinland;Kingdom of the Rheinland;Kingdom of the Rheinland;;;;;;;;;;;x;
RHI_democracy;Rheinland Federation;Rheinland Federation;Rheinland Federation;;;;;;;;;;;x;
RHI_conservative_82;CDU;CDU;CDU;;;;;;;;;;;x;
RHI_liberal_79;Liberals;Liberals;Liberals;;;;;;;;;;;x;
RHI_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
RHI_socialist_78;SDP;SDP;SDP;;;;;;;;;;;x;
RHI_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x;
RHI_reactionary_82;Nationalist Party;Nationalist Party;Nationalist Party;;;;;;;;;;;x;
RHI_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
RHI_communist_86;Communists;Communists;Communists;;;;;;;;;;;x;
RHI_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x;
