RUC_ADJ;Russian;Russian;Russian;;;;;;;;;;;x;
RUC;Russian Confederacy;Russian Confederacy;Russian Confederacy;;;;;;;;;;;x;
RUC_proletarian_dictatorship;RSSR;RSSR;RSSR;;;;;;;;;;;x;
RUC_presidential_dictatorship;Russian Republic;Russian Republic;Russian Republic;;;;;;;;;;;x;
RUC_bourgeois_dictatorship;Russian Republic;Russian Republic;Russian Republic;;;;;;;;;;;x;
RUC_fascist_dictatorship;Greather Russian State;Greather Russian State;Greather Russian State;;;;;;;;;;;x;
RUC_absolute_monarchy;Russian Tsardom;Russian Tsardom;Russian Tsardom;;;;;;;;;;;x;
RUC_prussian_constitutionalism;Russian Tsardom;Russian Tsardom;Russian Tsardom;;;;;;;;;;;x;
RUC_hms_government;Russian Tsardom;Russian Tsardom;Russian Tsardom;;;;;;;;;;;x;
RUC_democracy;Russian Confederacy;Russian Confederacy;Russian Confederacy;;;;;;;;;;;x;
RUC_conservative_92;Conservatives;Conservatives;Conservatives;;;;;;;;;;;x;
RUC_liberal_79;Liberals;Liberals;Liberals;;;;;;;;;;;x;
RUC_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
RUC_socialist_85;Socialists;Socialists;Socialists;;;;;;;;;;;x;
RUC_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x;
RUC_reactionary_84;Monarchy Leadership;Monarchy Leadership;Monarchy Leadership;;;;;;;;;;;x;
RUC_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
RUC_communist_86;Communists;Communists;Communists;;;;;;;;;;;x;
RUC_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x;
