SEN_ADJ;Southern English;Southern English;Southern English;;;;;;;;;;;x;
SEN;Southern England;Southern England;Southern England;;;;;;;;;;;x;
SEN_proletarian_dictatorship;Commune of Southern England;Commune of Southern England;Commune of Southern England;;;;;;;;;;;x;
SEN_presidential_dictatorship;Republic of Southern England;Republic of Southern England;Republic of Southern England;;;;;;;;;;;x;
SEN_bourgeois_dictatorship;Republic of Southern England;Republic of Southern England;Republic of Southern England;;;;;;;;;;;x;
SEN_fascist_dictatorship;State of Southern England;State of Southern England;State of Southern England;;;;;;;;;;;x;
SEN_absolute_monarchy;Kingdom of Southern England;Kingdom of Southern England;Kingdom of Southern England;;;;;;;;;;;x;
SEN_prussian_constitutionalism;Kingdom of Southern England;Kingdom of Southern England;Kingdom of Southern England;;;;;;;;;;;x;
SEN_hms_government;Kingdom of Southern England;Kingdom of Southern England;Kingdom of Southern England;;;;;;;;;;;x;
SEN_democracy;Southern England;Southern England;Southern England;;;;;;;;;;;x;
SEN_conservative_97;Conservative Party;Conservative Party;Conservative Party;;;;;;;;;;;x;
SEN_liberal_88;The Liberal Party;The Liberal Party;The Liberal Party;;;;;;;;;;;x;
SEN_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
SEN_socialist_78;SDP;SDP;SDP;;;;;;;;;;;x;
SEN_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x;
SEN_reactionary_84;Monarchy Leadership;Monarchy Leadership;Monarchy Leadership;;;;;;;;;;;x;
SEN_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
SEN_communist_86;Communists;Communists;Communists;;;;;;;;;;;x;
SEN_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x;
