TIM_ADJ;East Timorese;East Timorese;East Timorese;;;;;;;;;;;x;
TIM;East Timor;East Timor;East Timor;;;;;;;;;;;x;
TIM_proletarian_dictatorship;Democratic Republic of Timor-Leste;Democratic Republic of Timor-Leste;Democratic Republic of Timor-Leste;;;;;;;;;;;x;
TIM_presidential_dictatorship;Republic of Timor-Leste;Republic of Timor-Leste;Republic of Timor-Leste;;;;;;;;;;;x;
TIM_bourgeois_dictatorship;Republic of Timor-Leste;Republic of Timor-Leste;Republic of Timor-Leste;;;;;;;;;;;x;
TIM_fascist_dictatorship;State of East Timor-Leste;State of East Timor-Leste;State of East Timor-Leste;;;;;;;;;;;x;
TIM_absolute_monarchy;Kingdom of Timor;Kingdom of Timor;Kingdom of Timor;;;;;;;;;;;x;
TIM_prussian_constitutionalism;Kingdom of Timor;Kingdom of Timor;Kingdom of Timor;;;;;;;;;;;x;
TIM_hms_government;Kingdom of Timor;Kingdom of Timor;Kingdom of Timor;;;;;;;;;;;x;
TIM_democracy;Democratic Republic of Timor-Leste;Democratic Republic of Timor-Leste;Democratic Republic of Timor-Leste;;;;;;;;;;;x;
TIM_conservative_92;Conservatives;Conservatives;Conservatives;;;;;;;;;;;x;
TIM_liberal_79;Liberals;Liberals;Liberals;;;;;;;;;;;x;
TIM_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
TIM_socialist_85;Socialists;Socialists;Socialists;;;;;;;;;;;x;
TIM_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x;
TIM_reactionary_84;Monarchy Leadership;Monarchy Leadership;Monarchy Leadership;;;;;;;;;;;x;
TIM_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
TIM_communist_86;Communists;Communists;Communists;;;;;;;;;;;x;
TIM_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x;
