TAQ_ADJ;Tamahaq;Tamahaq;Tamahaq;;;;;;;;;;;x;
TAQ;Tamahaq;Tamahaq;Tamahaq;;;;;;;;;;;x;
TAQ_proletarian_dictatorship;Commune of Tamahaq;Commune of Tamahaq;Commune of Tamahaq;;;;;;;;;;;x;
TAQ_presidential_dictatorship;Republic of Tamahaq;Republic of Tamahaq;Republic of Tamahaq;;;;;;;;;;;x;
TAQ_bourgeois_dictatorship;Republic of Tamahaq;Republic of Tamahaq;Republic of Tamahaq;;;;;;;;;;;x;
TAQ_fascist_dictatorship;Greater Tamahaq;Greater Tamahaq;Greater Tamahaq;;;;;;;;;;;x;
TAQ_absolute_monarchy;Tamahaq;Tamahaq;Tamahaq;;;;;;;;;;;x;
TAQ_prussian_constitutionalism;Tamahaq;Tamahaq;Tamahaq;;;;;;;;;;;x;
TAQ_hms_government;Tamahaq;Tamahaq;Tamahaq;;;;;;;;;;;x;
TAQ_democracy;Tamahaq;Tamahaq;Tamahaq;;;;;;;;;;;x;
TAQ_conservative_92;Conservatives;Conservatives;Conservatives;;;;;;;;;;;x;
TAQ_liberal_79;Liberals;Liberals;Liberals;;;;;;;;;;;x;
TAQ_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
TAQ_socialist_85;Socialists;Socialists;Socialists;;;;;;;;;;;x;
TAQ_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x;
TAQ_reactionary_84;Monarchy Leadership;Monarchy Leadership;Monarchy Leadership;;;;;;;;;;;x;
TAQ_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
TAQ_communist_86;Communists;Communists;Communists;;;;;;;;;;;x;
TAQ_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x;
