UAR_ADJ;Argentine;Argentine;Argentine;;;;;;;;;;;x;
UAR;United American Republic;United American Republic;United American Republic;;;;;;;;;;;x;
UAR_proletarian_dictatorship;United American Peoples Republic;United American Peoples Republic;United American Peoples Republic;;;;;;;;;;;x;
UAR_presidential_dictatorship;United American Republic;United American Republic;United American Republic;;;;;;;;;;;x;
UAR_bourgeois_dictatorship;United American Republic;United American Republic;United American Republic;;;;;;;;;;;x;
UAR_fascist_dictatorship;Río de la Plata;Río de la Plata;Río de la Plata;;;;;;;;;;;x;
UAR_absolute_monarchy;United American Kingdom;United American Kingdom;United American Kingdom;;;;;;;;;;;x;
UAR_prussian_constitutionalism;United American Kingdom;United American Kingdom;United American Kingdom;;;;;;;;;;;x;
UAR_hms_government;United American Kingdom;United American Kingdom;United American Kingdom;;;;;;;;;;;x;
UAR_democracy;United American Republic;United American Republic;United American Republic;;;;;;;;;;;x;
UAR_conservative_93;National Front;National Front;National Front;;;;;;;;;;;x;
UAR_liberal_79;Liberals;Liberals;Liberals;;;;;;;;;;;x;
UAR_liberal_84;Colorado Party;Colorado Party;Colorado Party;;;;;;;;;;;x;
UAR_socialist_90;Socialist Party;Socialist Party;Socialist Party;;;;;;;;;;;x;
UAR_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x;
UAR_reactionary_83;Justicialist Party;Justicialist Party;Justicialist Party;;;;;;;;;;;x;
UAR_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
UAR_communist_86;Communists;Communists;Communists;;;;;;;;;;;x;
UAR_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x;
