VIC_ADJ;Victorian;Victorian;Victorian;;;;;;;;;;;x;
VIC;Victoria;Victoria;Victoria;;;;;;;;;;;x;
VIC_proletarian_dictatorship;Victoria Peoples Republic;Victoria Peoples Republic;Victoria Peoples Republic;;;;;;;;;;;x;
VIC_presidential_dictatorship;Victorian Republic;Victorian Republic;Victorian Republic;;;;;;;;;;;x;
VIC_bourgeois_dictatorship;Victorian Republic;Victorian Republic;Victorian Republic;;;;;;;;;;;x;
VIC_fascist_dictatorship;Victorian State;Victorian State;Victorian State;;;;;;;;;;;x;
VIC_absolute_monarchy;Victoria;Victoria;Victoria;;;;;;;;;;;x;
VIC_prussian_constitutionalism;Victoria;Victoria;Victoria;;;;;;;;;;;x;
VIC_hms_government;Victoria;Victoria;Victoria;;;;;;;;;;;x;
VIC_democracy;Victoria;Victoria;Victoria;;;;;;;;;;;x;
VIC_conservative_98;Social Credit Party;Social Credit Party;Social Credit Party;;;;;;;;;;;x;
VIC_liberal_95;Liberal Capitalist Party;Liberal Capitalist Party;Liberal Capitalist Party;;;;;;;;;;;x;
VIC_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
VIC_socialist_98;Social Democratic Party;Social Democratic Party;Social Democratic Party;;;;;;;;;;;x;
VIC_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x;
VIC_reactionary_93;Canadian Reunification Party;Canadian Reunification Party;Canadian Reunification Party;;;;;;;;;;;x;
VIC_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
VIC_communist_86;Communists;Communists;Communists;;;;;;;;;;;x;
VIC_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x;
