VOL_ADJ;Volk;Volk;Volk;;;;;;;;;;;x;
VOL;Volkstaat;Volkstaat;Volkstaat;;;;;;;;;;;x;
VOL_proletarian_dictatorship;Socialist Republic of Volkstaat;Socialist Republic of Volkstaat;Socialist Republic of Volkstaat;;;;;;;;;;;x;
VOL_presidential_dictatorship;Volkstaat;Volkstaat;Volkstaat;;;;;;;;;;;x;
VOL_bourgeois_dictatorship;Volkstaat;Volkstaat;Volkstaat;;;;;;;;;;;x;
VOL_fascist_dictatorship;Volkstaat;Volkstaat;Volkstaat;;;;;;;;;;;x;
VOL_absolute_monarchy;Duchy of Volkstaat;Duchy of Volkstaat;Duchy of Volkstaat;;;;;;;;;;;x;
VOL_prussian_constitutionalism;Duchy of Volkstaat;Duchy of Volkstaat;Duchy of Volkstaat;;;;;;;;;;;x;
VOL_hms_government;Duchy of Volkstaat;Duchy of Volkstaat;Duchy of Volkstaat;;;;;;;;;;;x;
VOL_democracy;Volkstaat;Volkstaat;Volkstaat;;;;;;;;;;;x;
VOL_conservative_92;Conservatives;Conservatives;Conservatives;;;;;;;;;;;x;
VOL_liberal_79;Liberals;Liberals;Liberals;;;;;;;;;;;x;
VOL_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
VOL_socialist_85;Socialists;Socialists;Socialists;;;;;;;;;;;x;
VOL_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x;
VOL_reactionary_84;Monarchy Leadership;Monarchy Leadership;Monarchy Leadership;;;;;;;;;;;x;
VOL_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
VOL_communist_86;Communists;Communists;Communists;;;;;;;;;;;x;
VOL_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x;
