WPL_ADJ;Polish;Polish;Polish;;;;;;;;;;;x
WPL;West Poland;West Poland;West Poland;;;;;;;;;;;x
WPL_proletarian_dictatorship;Polish People's Republic;Polish People's Republic;Polish People's Republic;;;;;;;;;;;x
WPL_presidential_dictatorship;Polish Republic;Polish Republic;Polish Republic;;;;;;;;;;;x
WPL_bourgeois_dictatorship;Polish Republic;Polish Republic;Polish Republic;;;;;;;;;;;x
WPL_fascist_dictatorship;Polish State;Polish State;Polish State;;;;;;;;;;;x
WPL_absolute_monarchy;Kingdom of West Poland;Kingdom of West Poland;Kingdom of West Poland;;;;;;;;;;;x
WPL_prussian_constitutionalism;Kingdom of West Poland;Kingdom of West Poland;Kingdom of West Poland;;;;;;;;;;;x
WPL_hms_government;Kingdom of West Poland;Kingdom of West Poland;Kingdom of West Poland;;;;;;;;;;;x
WPL_democracy;Polish Republic;Polish Republic;Polish Republic;;;;;;;;;;;x
WPL_conservative_92;Conservatives;Conservatives;Conservatives;;;;;;;;;;;x
WPL_liberal_79;Liberals;Liberals;Liberals;;;;;;;;;;;x
WPL_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x
WPL_socialist_85;Socialists;Socialists;Socialists;;;;;;;;;;;x
WPL_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x
WPL_reactionary_78;Nationalists ;Nationalists ;Nationalists ;;;;;;;;;;;x
WPL_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x
WPL_communist_86;Communists;Communists;Communists;;;;;;;;;;;x
WPL_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x
