YUK_ADJ;Yukoner;Yukoner;Yukoner;;;;;;;;;;;x;
YUK;Yukon;Yukon;Yukon;;;;;;;;;;;x;
YUK_proletarian_dictatorship;Comune of Yukon;Comune of Yukon;Comune of Yukon;;;;;;;;;;;x;
YUK_presidential_dictatorship;Republic of Yukon;Republic of Yukon;Republic of Yukon;;;;;;;;;;;x;
YUK_bourgeois_dictatorship;Republic of Yukon;Republic of Yukon;Republic of Yukon;;;;;;;;;;;x;
YUK_fascist_dictatorship;Yukon State;Yukon State;Yukon State;;;;;;;;;;;x;
YUK_absolute_monarchy;Yukon;Yukon;Yukon;;;;;;;;;;;x;
YUK_prussian_constitutionalism;Yukon;Yukon;Yukon;;;;;;;;;;;x;
YUK_hms_government;Yukon;Yukon;Yukon;;;;;;;;;;;x;
YUK_democracy;Yukon;Yukon;Yukon;;;;;;;;;;;x;
YUK_conservative_92;Conservatives;Conservatives;Conservatives;;;;;;;;;;;x;
YUK_liberal_79;Liberals;Liberals;Liberals;;;;;;;;;;;x;
YUK_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
YUK_socialist_85;Socialists;Socialists;Socialists;;;;;;;;;;;x;
YUK_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x;
YUK_reactionary_84;Monarchy Leadership;Monarchy Leadership;Monarchy Leadership;;;;;;;;;;;x;
YUK_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
YUK_communist_86;Communists;Communists;Communists;;;;;;;;;;;x;
YUK_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x;
